File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
./data/output_files/out/UN_105_em_101.lg, Incorrect,4,2,2,2,0,0.414672311952,3,6,2,2,0,0,0,0,3,2,0,2,1,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_102.lg, Incorrect,16,4,12,10,2,0.383964095464,8,56,5,11,1,0,0,0,6,6,0,5,3,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_103.lg, Incorrect,56,13,43,23,20,0.426873869494,19,342,12,32,10,0,2,1,13,11,0,4,4,9,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_104.lg, Incorrect,48,10,38,28,10,0.34354850494,19,342,12,33,5,0,0,0,13,14,0,9,7,6,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_105.lg, Incorrect,21,3,18,12,6,0.374002822643,9,72,4,15,3,0,0,0,5,4,0,4,4,1,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_106.lg, Incorrect,43,8,35,25,10,0.362001817715,16,240,10,29,5,0,2,1,11,10,0,8,6,5,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_107.lg, Incorrect,11,3,8,6,2,0.424865556414,6,30,4,7,1,0,0,0,5,5,0,3,3,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_108.lg, Incorrect,4,2,2,2,0,0.414672311952,3,6,2,2,0,1,0,0,3,3,0,3,1,2,0,0,0,1,0,0,0,0
./data/output_files/out/UN_105_em_109.lg, Incorrect,34,3,31,31,0,0.111256767008,26,650,19,31,0,0,0,0,20,17,0,17,17,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_110.lg, Incorrect,11,3,8,8,0,0.25098815767,8,56,6,8,0,5,0,0,7,7,0,7,4,3,0,0,0,1,0,0,0,0
./data/output_files/out/UN_105_em_111.lg, Incorrect,11,2,9,9,0,0.21696395429,8,56,6,9,0,0,0,0,6,5,0,5,4,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_112.lg, Incorrect,16,4,12,8,4,0.55475685679,6,30,4,9,2,0,2,1,4,4,0,3,2,2,0,0,0,0,0,0,0,0
